,Tm,Player,Rk,PTS.1
0,DET,Cade Cunningham,1,17.4
1,HOU,Jalen Green,2,17.3
2,TOR,Scottie Barnes,4,15.3
3,ORL,Franz Wagner,8,15.2
4,CLE,Evan Mobley,3,15.0
5,IND,Chris Duarte,13,13.1
6,OKC,Josh Giddey,6,12.5
7,ORL,Jalen Suggs,5,11.8
8,SAC,Davion Mitchell,9,11.5
9,OKC,Tre Mann,18,10.4
10,DEN,Bones Hyland,26,10.1
11,OKC,Alperen Şengün,16,9.6
12,NOP,Herbert Jones,35,9.5
13,GSW,Jonathan Kuminga,7,9.3
14,CHI,Ayo Dosunmu,38,8.8
15,BRK,Cam Thomas,27,8.5
16,OKC,Aaron Wiggins,55,8.3
17,LAL,Isaiah Jackson,22,8.3
18,WAS,Corey Kispert,15,8.2
19,NOP,Ziaire Williams,10,8.1
20,HOU,Josh Christopher,24,7.9
21,NYK,Jeremiah Robinson-Earl,32,7.5
22,NYK,Keon Johnson,21,7.2
23,MEM,Brandon Boston Jr.,51,6.7
24,IND,Georgios Kalaitzakis,60,6.6
25,DET,Isaiah Livers,42,6.4
26,PHO,Day'Ron Sharpe,29,6.2
27,LAC,Quentin Grimes,25,6.0
28,BRK,Kessler Edwards,44,5.9
29,DET,Luka Garza,52,5.8
30,SAS,Joshua Primo,12,5.8
31,MEM,Trey Murphy III,17,5.4
32,NOP,Greg Brown III,43,4.7
33,CHO,James Bouknight,11,4.6
34,GSW,Moses Moody,14,4.4
35,UTA,Santi Aldama,30,4.1
36,IND,Sandro Mamukelashvili,54,3.8
37,NOP,Jared Butler,40,3.8
38,TOR,Dalano Banton,46,3.2
39,SAC,Neemias Queta,39,3.2
40,PHI,Charles Bassey,53,3.0
41,ATL,Jalen Johnson,20,2.4
42,OKC,Miles McBride,36,2.2
43,NYK,Jericho Sims,58,2.2
44,SAS,Joe Wieskamp,41,2.1
45,HOU,Usman Garuba,23,2.0
46,DET,JT Thor,37,2.0
47,MIL,Isaiah Todd,31,1.7
48,PHI,Jaden Springer,28,1.0
49,NYK,Kai Jones,19,1.0
50,ATL,Sharife Cooper,48,0.5
51,CHO,Scottie Lewis,56,0.5
52,TOR,David Johnson,47,0.0
53,ORL,Jason Preston,33,0.0
54,OKC,Rokas Jokubaitis,34,0.0
55,BOS,Juhann Begarin,45,0.0
56,BRK,Marcus Zegarowski,49,0.0
57,PHI,Filip Petrušev,50,0.0
58,CHO,Balša Koprivica,57,0.0
59,BRK,RaiQuan Gray,59,0.0
