,Tm,Player,Rk,TRB.1
0,CLE,Evan Mobley,3,8.3
1,OKC,Josh Giddey,6,7.8
2,TOR,Scottie Barnes,4,7.5
3,NYK,Jeremiah Robinson-Earl,32,5.6
4,DET,Cade Cunningham,1,5.5
5,OKC,Alperen Şengün,16,5.5
6,PHO,Day'Ron Sharpe,29,5.0
7,ORL,Franz Wagner,8,4.5
8,LAL,Isaiah Jackson,22,4.1
9,IND,Chris Duarte,13,4.1
10,NYK,Jericho Sims,58,4.1
11,NOP,Herbert Jones,35,3.8
12,OKC,Aaron Wiggins,55,3.6
13,BRK,Kessler Edwards,44,3.6
14,ORL,Jalen Suggs,5,3.6
15,HOU,Usman Garuba,23,3.5
16,HOU,Jalen Green,2,3.4
17,GSW,Jonathan Kuminga,7,3.3
18,DET,Luka Garza,52,3.1
19,DET,Isaiah Livers,42,3.0
20,OKC,Tre Mann,18,2.9
21,NOP,Greg Brown III,43,2.8
22,CHI,Ayo Dosunmu,38,2.8
23,DEN,Bones Hyland,26,2.7
24,WAS,Corey Kispert,15,2.7
25,PHI,Charles Bassey,53,2.7
26,UTA,Santi Aldama,30,2.7
27,HOU,Josh Christopher,24,2.5
28,BRK,Cam Thomas,27,2.4
29,MEM,Trey Murphy III,17,2.4
30,SAS,Joshua Primo,12,2.3
31,NYK,Keon Johnson,21,2.2
32,SAC,Davion Mitchell,9,2.2
33,SAC,Neemias Queta,39,2.2
34,MEM,Brandon Boston Jr.,51,2.2
35,NOP,Ziaire Williams,10,2.1
36,LAC,Quentin Grimes,25,2.0
37,IND,Sandro Mamukelashvili,54,2.0
38,TOR,Dalano Banton,46,1.9
39,CHO,James Bouknight,11,1.7
40,IND,Georgios Kalaitzakis,60,1.6
41,GSW,Moses Moody,14,1.5
42,DET,JT Thor,37,1.3
43,ATL,Jalen Johnson,20,1.2
44,NOP,Jared Butler,40,1.1
45,OKC,Miles McBride,36,1.1
46,MIL,Isaiah Todd,31,1.0
47,PHI,Jaden Springer,28,1.0
48,NYK,Kai Jones,19,0.5
49,SAS,Joe Wieskamp,41,0.5
50,ATL,Sharife Cooper,48,0.4
51,TOR,David Johnson,47,0.0
52,CHO,Scottie Lewis,56,0.0
53,ORL,Jason Preston,33,0.0
54,OKC,Rokas Jokubaitis,34,0.0
55,BOS,Juhann Begarin,45,0.0
56,BRK,Marcus Zegarowski,49,0.0
57,PHI,Filip Petrušev,50,0.0
58,CHO,Balša Koprivica,57,0.0
59,BRK,RaiQuan Gray,59,0.0
